segment_index,label_1m,label_30s_first,label_30s_second,rr_mean_ms,rr_std_ms,rr_min_ms,rr_max_ms,spo2_mean_pct,spo2_min_pct,spo2_max_pct,rr_samples_in_minute,spo2_samples_in_minute
2,0,0,0,945.365697347058,40.5036170445085,771.9926249489504,1021.9739631551192,96.97791114162915,94.98893720912488,97.99954222934309,316,15000
3,0,0,0,940.1824796819783,49.50654651273721,769.2587791420067,1021.9739631550908,97.04453081050838,94.98893720912488,97.99954222934309,318,15000
4,0,0,0,937.6402155137002,48.60937266547707,769.2587791420067,1021.9739631550908,97.07742092011901,94.98893720912488,97.99954222934309,319,15000
5,0,0,0,941.5080899531481,44.95692791700835,769.2587791420067,1021.973963155105,97.14243859515271,94.98893720912488,97.99954222934309,317,15000
6,0,0,0,936.3134748845212,43.443214980445255,769.2587791420209,1007.8187851465045,97.0323010096386,94.98893720912488,97.99954222934309,319,15000
7,0,0,0,925.5480709165256,50.91464384814378,769.2587791420049,998.6750393957564,97.0626500851962,94.98893720912488,97.99954222934309,323,15000
8,0,0,0,909.8453839454615,59.617630942938504,778.3088506982381,994.1671347304464,97.02673126319269,94.98893720912488,97.99954222934309,329,15000
9,0,0,0,907.2889356855102,60.327154836462455,778.3088506982665,999.1630187009832,97.07582757305256,94.98893720912488,97.99954222934309,330,15000
10,0,0,0,907.8758029966141,57.55458514635247,778.3088506982665,999.1630187009832,97.31550225070572,94.98893720912488,97.99954222934309,330,15000
11,0,0,0,910.9537243584834,60.564151298249826,778.3088506982807,999.1630187009832,97.31030146740926,94.98893720912488,97.99954222934309,329,15000
12,0,0,0,917.1971337152095,66.77506542929713,748.1056853961832,1023.4734758543027,97.40048727143258,94.98893720912488,97.99954222934309,326,15000
13,0,0,0,949.3047685428356,57.701245936230485,748.1056853961832,1034.606649781722,97.54171887795326,94.99961852445259,97.99954222934309,315,15000
14,0,0,0,965.9452186409046,61.93645344067189,748.1056853961832,1048.2442326132855,97.45973245848275,96.9787136644541,97.99954222934309,310,15000
15,0,0,0,985.1128302348371,58.01235518469263,748.105685396169,1048.2442326132855,97.1027241423158,95.98992904554818,97.99954222934309,303,15000
16,0,0,0,999.4721495044016,58.126106360690784,748.1056853961761,1081.8400093553464,96.89415304798962,95.98992904554818,97.99954222934309,299,15000
17,0,0,0,1021.2923688716048,18.793173419096146,954.0544304533114,1081.840009355318,96.63498466468299,95.9792477302205,97.98886091401542,293,15000
18,0,0,0,1025.848552833544,22.461273450814137,912.2969340177747,1090.0815581470624,96.35969105567001,95.9792477302205,97.00923170824751,292,15000
19,0,0,0,1031.220352067723,25.758380111221147,912.2969340178031,1090.0815581470624,96.25126766867577,95.9792477302205,97.00923170824751,290,15000
